Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Average_Estimator
490,255,255,255,127,255,1023,511,255,511,511,395.8
491,255,255,255,127,255,1023,511,255,511,511,395.8
492,255,255,255,127,255,1023,511,255,511,511,395.8
493,255,255,255,127,255,1023,511,511,511,511,421.4
494,255,255,255,127,255,1023,511,511,511,511,421.4
495,255,255,255,255,255,1023,511,511,511,511,434.2
496,255,255,255,255,255,1023,511,511,511,511,434.2
497,255,255,255,255,255,1023,511,511,511,511,434.2
498,255,255,255,255,255,1023,511,511,511,511,434.2
499,255,255,255,255,255,1023,511,511,511,511,434.2
500,255,255,255,255,255,1023,511,511,511,511,434.2
501,255,255,255,255,255,1023,511,511,511,511,434.2
502,255,255,255,255,255,1023,511,511,511,511,434.2
503,255,255,255,255,255,1023,511,511,511,511,434.2
504,255,255,255,255,255,1023,511,511,511,511,434.2
505,255,255,255,255,255,1023,511,511,511,511,434.2
506,255,255,255,255,255,1023,511,511,511,511,434.2
507,255,255,255,255,255,1023,511,511,511,511,434.2
508,255,255,255,255,255,1023,511,511,511,511,434.2
509,255,255,255,255,255,1023,511,511,511,511,434.2
510,255,255,255,255,255,1023,511,511,511,511,434.2
511,255,255,255,255,255,1023,511,511,511,511,434.2
512,255,255,255,255,255,1023,511,511,511,511,434.2
513,255,255,255,255,255,1023,511,511,511,511,434.2
514,255,255,255,255,255,1023,511,511,511,511,434.2
515,255,255,255,255,255,1023,511,511,511,511,434.2
516,255,255,255,255,255,1023,511,511,511,511,434.2
517,255,255,255,255,255,1023,511,511,511,511,434.2
518,255,255,255,255,255,1023,511,511,511,511,434.2
519,255,255,255,255,255,1023,511,511,511,511,434.2
520,255,255,255,255,255,1023,511,511,511,511,434.2
